PAYERGROUPCODE,STATECODE,MONTHUID,ACTIVEMEMBERSHIP,ACTIVEMEMBERSHIP_FORECAST,ACTIVEMEMBERSHIP_FORECAST_LOWER,ACTIVEMEMBERSHIP_FORECAST_UPPER,ACTIVEMEMBERSHIP_FORECAST_MAE,MODEL
All,WI,2020-01,,128066.040657112,125596.029412641,130304.561178646,1751.892253026,PROPHET
All,WI,2020-02,,125837.789864906,123198.990086803,128161.528748946,1751.892253026,PROPHET
All,WV,2019-01,43426,43603.870513452,43249.477347409,43911.880551807,3000.389920361,PROPHET
All,WV,2019-02,43653,43514.404545089,43165.115174321,43843.943648164,3000.389920361,PROPHET
All,WV,2019-03,43355,43433.596574029,43094.648027365,43777.784426432,3000.389920361,PROPHET
All,WV,2019-04,43462,43344.055562752,43025.697542359,43707.401939382,3000.389920361,PROPHET
All,WV,2019-05,43218,43141.599582591,42812.138495632,43487.527299043,3000.389920361,PROPHET
All,WV,2019-06,43087,42550.829301051,42195.071142945,42896.352801939,3000.389920361,PROPHET
All,WV,2019-07,41360,41978.847767518,41661.441306329,42317.741314877,3000.389920361,PROPHET
All,WV,2019-08,41221,41389.309154553,41064.161269455,41702.317851894,3000.389920361,PROPHET
All,WV,2019-09,41258,41262.694361736,40945.152395279,41592.636895867,3000.389920361,PROPHET
All,WV,2019-10,41303,41140.163916568,40828.625434834,41473.788327065,3000.389920361,PROPHET
All,WV,2019-11,41064,41013.549123229,40676.857883156,41343.303227453,3000.389920361,PROPHET
All,WV,2019-12,40857,40891.018678061,40569.781771863,41246.074098952,3000.389920361,PROPHET
All,WV,2020-01,,40764.403884722,40447.163379044,41143.065967516,3000.389920361,PROPHET
All,WV,2020-02,,40637.789091382,40222.379791631,41097.86808707,3000.389920361,PROPHET
All,WY,2019-01,5188,5191.608226959,5138.182439624,5242.114859181,52.105337016,PROPHET
All,WY,2019-02,5197,5193.702975502,5142.848123792,5247.120089054,52.105337016,PROPHET
All,WY,2019-03,5179,5195.595006124,5148.671594173,5249.686148251,52.105337016,PROPHET
All,WY,2019-04,5188,5197.689754555,5145.467344581,5248.161841281,52.105337016,PROPHET
All,WY,2019-05,5206,5199.716930588,5147.718744943,5252.548424987,52.105337016,PROPHET
All,WY,2019-06,5241,5201.753062196,5144.810707814,5255.152825168,52.105337016,PROPHET
All,WY,2019-07,5228,5144.971516246,5090.80561451,5196.24267457,52.105337016,PROPHET
All,WY,2019-08,4996,5086.231895444,5034.902582078,5135.836881254,52.105337016,PROPHET
All,WY,2019-09,4987,5027.73707722,4978.409751515,5078.373707849,52.105337016,PROPHET
All,WY,2019-10,4985,4976.910767725,4923.667684995,5023.410605299,52.105337016,PROPHET
All,WY,2019-11,4930,4924.390247913,4873.50814539,4976.367424493,52.105337016,PROPHET
All,WY,2019-12,4889,4873.563938418,4823.650083853,4924.497735338,52.105337016,PROPHET
All,WY,2020-01,,4821.043418607,4771.377151983,4869.40339425,52.105337016,PROPHET
All,WY,2020-02,,4768.522898796,4710.119646747,4825.125185464,52.105337016,PROPHET
Commercial,AK,2019-01,2885,2867.70721299,2833.193572673,2899.942772861,20.438830408,PROPHET
Commercial,AK,2019-02,2858,2863.954280211,2831.528511859,2896.861053607,20.438830408,PROPHET
Commercial,AK,2019-03,2849,2860.564534782,2825.329610818,2896.61022578,20.438830408,PROPHET
Commercial,AK,2019-04,2829,2856.85834595,2822.932222403,2892.45383115,20.438830408,PROPHET
Commercial,AK,2019-05,2832,2853.283706344,2819.545157184,2887.521625397,20.438830408,PROPHET
Commercial,AK,2019-06,2900,2849.589912365,2816.462323062,2883.112855712,20.438830408,PROPHET
Commercial,AK,2019-07,2887,2836.84005661,2806.401024385,2874.228024328,20.438830408,PROPHET
Commercial,AK,2019-08,2782,2817.929797812,2783.602314115,2850.971905531,20.438830408,PROPHET
Commercial,AK,2019-09,2781,2799.019538665,2763.732704861,2832.332882746,20.438830408,PROPHET
Commercial,AK,2019-10,2777,2780.719287902,2747.231511627,2817.973402495,20.438830408,PROPHET
Commercial,AK,2019-11,2766,2761.80902878,2726.240869454,2797.246901223,20.438830408,PROPHET
Commercial,AK,2019-12,2746,2743.508778017,2706.897630641,2775.026068528,20.438830408,PROPHET
Commercial,AK,2020-01,,2724.598518895,2691.063304655,2756.106372018,20.438830408,PROPHET
Commercial,AK,2020-02,,2705.688259773,2670.612535636,2739.260145138,20.438830408,PROPHET
Commercial,AL,2019-01,33048,33048.902326255,33033.708865899,33063.842864258,580.945334411,PROPHET
Commercial,AL,2019-02,33014,33011.098080037,32995.454097552,33026.076475449,580.945334411,PROPHET
Commercial,AL,2019-03,32716,32717.998782936,32702.632485944,32731.908411783,580.945334411,PROPHET
Commercial,AL,2019-04,32650,32651.867392106,32637.024419456,32667.540161416,580.945334411,PROPHET
Commercial,AL,2019-05,32680,32676.328533375,32662.206154625,32691.100954256,580.945334411,PROPHET
Commercial,AL,2019-06,32398,32401.670064384,32387.721274693,32417.383878865,580.945334411,PROPHET
Commercial,AL,2019-07,32322,32318.32869884,32304.492512643,32333.467367807,580.945334411,PROPHET
Commercial,AL,2019-08,31225,31226.806022696,31212.619527764,31242.415794096,580.945334411,PROPHET
Commercial,AL,2019-09,31054,31034.13131493,31019.211642909,31048.356569869,580.945334411,PROPHET
Commercial,AL,2019-10,30881,30901.517249871,30886.594167988,30917.170934239,580.945334411,PROPHET
Commercial,AL,2019-11,30745,30764.482715977,30750.061994836,30779.321172266,580.945334411,PROPHET
Commercial,AL,2019-12,30652,30631.868650918,30616.634594518,30646.037696768,580.945334411,PROPHET
Commercial,AL,2020-01,,30494.834117023,30279.734602556,30655.263494198,580.945334411,PROPHET
Commercial,AL,2020-02,,30357.799583129,29560.534375459,31049.052811284,580.945334411,PROPHET
Commercial,AR,2019-01,30691,30564.511127591,30345.320700706,30765.735772584,181.414175215,PROPHET
Commercial,AR,2019-02,30554,30681.740491368,30458.567198523,30902.30144518,181.414175215,PROPHET
Commercial,AR,2019-03,30671,30787.641168756,30580.006639285,31001.837074981,181.414175215,PROPHET
Commercial,AR,2019-04,30931,30905.211560568,30682.671645773,31109.482188352,181.414175215,PROPHET
Commercial,AR,2019-05,31042,31018.989357502,30815.463711429,31234.293626087,181.414175215,PROPHET
Commercial,AR,2019-06,31174,31136.559745679,30906.434860049,31363.966627951,181.414175215,PROPHET
Commercial,AR,2019-07,31509,31250.048749586,31036.495942056,31467.678392181,181.414175215,PROPHET
Commercial,AR,2019-08,30736,31089.884839057,30880.53057515,31306.036314941,181.414175215,PROPHET
Commercial,AR,2019-09,30929,30929.720927262,30723.939064853,31138.723361157,181.414175215,PROPHET
Commercial,AR,2019-10,30938,30774.723594126,30571.828627968,31005.881209615,181.414175215,PROPHET
Commercial,AR,2019-11,30761,30614.559683218,30395.094549142,30824.929806943,181.414175215,PROPHET
Commercial,AR,2019-12,30279,30459.562350082,30267.390588479,30668.720278626,181.414175215,PROPHET
Commercial,AR,2020-01,,30299.398439175,30077.668593035,30499.341795412,181.414175215,PROPHET
Commercial,AR,2020-02,,30139.234528268,29930.206227573,30377.543635221,181.414175215,PROPHET
Commercial,AZ,2019-01,61648,61641.327779971,61583.792332017,61699.851552242,379.650081402,PROPHET
Commercial,AZ,2019-02,61200,61206.662005264,61148.736634302,61265.611515545,379.650081402,PROPHET
Commercial,AZ,2019-03,61001,61001.069879211,60942.876903348,61062.239805856,379.650081402,PROPHET
Commercial,AZ,2019-04,60838,60838.184904673,60784.789254056,60895.118801872,379.650081402,PROPHET
Commercial,AZ,2019-05,60708,60707.377874608,60653.967041759,60759.649580215,379.650081402,PROPHET
Commercial,AZ,2019-06,60558,60572.210612387,60515.007095521,60625.274186315,379.650081402,PROPHET
Commercial,AZ,2019-07,60582,60554.728020988,60501.85064825,60611.965498122,379.650081402,PROPHET
Commercial,AZ,2019-08,59039,59065.86035708,59012.02825703,59117.638382442,379.650081402,PROPHET
Commercial,AZ,2019-09,58928,58976.963539912,58923.12315131,59032.285484812,379.650081402,PROPHET
Commercial,AZ,2019-10,58865,58740.214952172,58680.19237116,58796.420212513,379.650081402,PROPHET
Commercial,AZ,2019-11,58438,58495.57474484,58442.529638274,58553.716779449,379.650081402,PROPHET
Commercial,AZ,2019-12,58254,58258.8261571,58202.870569255,58322.697870152,379.650081402,PROPHET
Commercial,AZ,2020-01,,58014.185949768,57823.805915156,58226.145751725,379.650081402,PROPHET
Commercial,AZ,2020-02,,57769.545742436,56997.565307949,58520.578310817,379.650081402,PROPHET
Commercial,All,2019-01,6123654,6122617.32889958,6072086.43356231,6170235.95800041,566477.704184211,PROPHET
Commercial,All,2019-02,6097443,6105854.26295387,6054443.65914473,6156675.02518417,566477.704184211,PROPHET
Commercial,All,2019-03,6081966,6090713.42925717,6038655.28295537,6142843.15180108,566477.704184211,PROPHET
Commercial,All,2019-04,6069004,6073950.36330207,6023393.0793388,6122580.93442909,566477.704184211,PROPHET
Commercial,All,2019-05,6067358,6057728.04126983,6007962.27735734,6105522.9551148,566477.704184211,PROPHET
Commercial,All,2019-06,6052124,6040675.09558342,5989428.94188922,6087156.12765339,566477.704184211,PROPHET
Commercial,All,2019-07,6048663,5977619.77393561,5929522.8353064,6024912.49859493,566477.704184211,PROPHET
Commercial,All,2019-08,5797795,5892107.56315804,5839453.08825542,5941872.60804431,566477.704184211,PROPHET
Commercial,All,2019-09,5795818,5806595.35241387,5754838.77591772,5858326.83007099,566477.704184211,PROPHET
Commercial,All,2019-10,5783102,5723841.60016333,5673279.87295437,5775323.03691667,566477.704184211,PROPHET
Commercial,All,2019-11,5627152,5638329.38950444,5589688.79715061,5689803.64120105,566477.704184211,PROPHET
Commercial,All,2019-12,5541539,5555575.6372539,5506634.78183765,5606067.44002173,566477.704184211,PROPHET
Commercial,All,2020-01,,5470063.42659501,5418600.87270217,5521748.93794379,566477.704184211,PROPHET
Commercial,All,2020-02,,5384551.21593612,5328868.62703514,5441341.48149378,566477.704184211,PROPHET
Commercial,CA,2019-01,751417,751375.021233141,750651.302025147,752091.91292083,6649.500937189,PROPHET
Commercial,CA,2019-02,750936,751130.922471624,750414.639655351,751931.136231131,6649.500937189,PROPHET
Commercial,CA,2019-03,751256,750910.446499311,750169.409421165,751684.148715045,6649.500937189,PROPHET
Commercial,CA,2019-04,749136,749469.207978229,748751.771165149,750180.366561255,6649.500937189,PROPHET
Commercial,CA,2019-05,749485,749400.625426307,748677.969700118,750190.18151017,6649.500937189,PROPHET
Commercial,CA,2019-06,749386,749329.756799168,748555.41210253,750077.956026631,6649.500937189,PROPHET
Commercial,CA,2019-07,747286,747093.72325463,746339.191308487,747801.554368717,6649.500937189,PROPHET
Commercial,CA,2019-08,741163,741547.557186601,740841.89602438,742318.540190824,6649.500937189,PROPHET
Commercial,CA,2019-09,745448,745796.147191792,745041.664955081,746509.650917103,6649.500937189,PROPHET
Commercial,CA,2019-10,742491,742375.839269735,741630.482349771,743126.986268344,6649.500937189,PROPHET
Commercial,CA,2019-11,740346,738841.52108361,738064.08743796,739584.917355674,6649.500937189,PROPHET
Commercial,CA,2019-12,734342,735421.213161553,734704.169885072,736152.286155969,6649.500937189,PROPHET
Commercial,CA,2020-01,,731886.894975428,730122.617897278,734087.832798142,6649.500937189,PROPHET
Commercial,CA,2020-02,,728352.576789303,722039.084681272,735751.719078931,6649.500937189,PROPHET
Commercial,CO,2019-01,79307,79310.684649906,79263.443377122,79357.795453403,237.296639276,PROPHET
Commercial,CO,2019-02,79548,79544.315196185,79500.422929504,79592.974982668,237.296639276,PROPHET
Commercial,CO,2019-03,79330,79322.625525248,79272.671119975,79368.213191853,237.296639276,PROPHET
Commercial,CO,2019-04,79007,79015.159835761,78967.722799149,79059.318682768,237.296639276,PROPHET
Commercial,CO,2019-05,78916,78914.451102171,78866.960508519,78963.699933244,237.296639276,PROPHET
Commercial,CO,2019-06,78802,78810.385413572,78763.714009426,78856.204015527,237.296639276,PROPHET
Commercial,CO,2019-07,78798,78783.00422666,78735.235016966,78832.844974669,237.296639276,PROPHET
Commercial,CO,2019-08,76512,76526.745904071,76484.468843819,76573.175058116,237.296639276,PROPHET
Commercial,CO,2019-09,76566,76557.506377674,76513.143428896,76604.983963823,237.296639276,PROPHET
Commercial,CO,2019-10,76516,76465.46274178,76420.021311266,76512.008626074,237.296639276,PROPHET
Commercial,CO,2019-11,76268,76370.350984689,76322.811345395,76414.459138056,237.296639276,PROPHET
Commercial,CO,2019-12,76329,76278.307348795,76233.01481371,76325.608207358,237.296639276,PROPHET
Commercial,CO,2020-01,,76183.195591704,75721.433167595,76484.359240888,237.296639276,PROPHET
Commercial,CO,2020-02,,76088.083834614,74594.335511041,77431.624012869,237.296639276,PROPHET
Commercial,CT,2019-01,67524,67521.252591445,67483.120735086,67559.096074926,190.461169184,PROPHET
Commercial,CT,2019-02,67147,67149.743584066,67111.650815273,67186.339309728,190.461169184,PROPHET
Commercial,CT,2019-03,66912,66912.004644131,66872.800962447,66948.439105003,190.461169184,PROPHET
Commercial,CT,2019-04,66777,66782.677028278,66744.652720711,66824.407695816,190.461169184,PROPHET
Commercial,CT,2019-05,67037,67031.322890538,66994.99821205,67068.224454936,190.461169184,PROPHET
Commercial,CT,2019-06,67237,67236.998284477,67200.524319617,67274.949624326,190.461169184,PROPHET
Commercial,CT,2019-07,66351,66345.505132874,66309.240001256,66384.109140641,190.461169184,PROPHET
Commercial,CT,2019-08,64652,64662.992967127,64626.048711645,64699.318527624,190.461169184,PROPHET
Commercial,CT,2019-09,64674,64713.395764376,64678.05452593,64752.66869238,190.461169184,PROPHET
Commercial,CT,2019-10,64653,64615.96488159,64577.817933034,64653.200436012,190.461169184,PROPHET
Commercial,CT,2019-11,64579,64515.286302711,64476.25329774,64550.437375597,190.461169184,PROPHET
Commercial,CT,2019-12,64362,64417.855419925,64380.807796869,64454.604918242,190.461169184,PROPHET
Commercial,CT,2020-01,,64317.176841046,64011.005057155,64602.008052507,190.461169184,PROPHET
Commercial,CT,2020-02,,64216.498262167,63018.224527694,65261.258480653,190.461169184,PROPHET
Commercial,DC,2019-01,2889,2868.162849225,2847.742548347,2888.480067242,11.427929787,PROPHET
Commercial,DC,2019-02,2842,2863.06568539,2843.279306783,2884.863537766,11.427929787,PROPHET
Commercial,DC,2019-03,2841,2858.564313202,2837.318518102,2881.220626426,11.427929787,PROPHET
Commercial,DC,2019-04,2859,2853.589919057,2832.24877303,2875.770819803,11.427929787,PROPHET
Commercial,DC,2019-05,2850,2848.775988692,2828.546598493,2870.98833773,11.427929787,PROPHET
Commercial,DC,2019-06,2855,2843.801592088,2823.125686492,2863.349162058,11.427929787,PROPHET
Commercial,DC,2019-07,2867,2836.736019453,2815.273137483,2856.176617403,11.427929787,PROPHET
Commercial,DC,2019-08,2798,2826.673965589,2804.852425288,2847.093505907,11.427929787,PROPHET
Commercial,DC,2019-09,2813,2816.61191256,2795.364196023,2838.966827859,11.427929787,PROPHET
Commercial,DC,2019-10,2809,2806.905836144,2786.061045004,2828.592092604,11.427929787,PROPHET
Commercial,DC,2019-11,2787,2796.876223848,2773.729431902,2816.882037477,11.427929787,PROPHET
Commercial,DC,2019-12,2797,2787.170147432,2766.035211668,2808.16768961,11.427929787,PROPHET
Commercial,DC,2020-01,,2777.140535136,2755.913057099,2798.532383583,11.427929787,PROPHET
Commercial,DC,2020-02,,2767.11092284,2745.045479585,2788.175817426,11.427929787,PROPHET
Commercial,DE,2019-01,6950,6949.73281379,6946.202211237,6953.441853816,187.9862295,PROPHET
Commercial,DE,2019-02,6879,6879.858525385,6875.998084942,6883.432912528,187.9862295,PROPHET
Commercial,DE,2019-03,6911,6909.874453585,6906.359070185,6913.737031358,187.9862295,PROPHET
Commercial,DE,2019-04,6881,6881.534157704,6877.720054736,6885.256191059,187.9862295,PROPHET
Commercial,DE,2019-05,6855,6855.534157576,6851.844545251,6859.201706601,187.9862295,PROPHET
Commercial,DE,2019-06,6839,6838.465842272,6834.872174072,6842.371250683,187.9862295,PROPHET
Commercial,DE,2019-07,6771,6770.465842657,6766.857848359,6774.236627788,187.9862295,PROPHET
Commercial,DE,2019-08,6659,6659.534191734,6655.978933381,6663.660873855,187.9862295,PROPHET
Commercial,DE,2019-09,6637,6641.36584196,6637.810301452,6645.056266974,187.9862295,PROPHET
Commercial,DE,2019-10,6633,6624.805940512,6621.036944956,6628.899424039,187.9862295,PROPHET
Commercial,DE,2019-11,6604,6607.694042349,6603.820284511,6611.384714597,187.9862295,PROPHET
Commercial,DE,2019-12,6591,6591.134140901,6587.613446419,6594.900101302,187.9862295,PROPHET
Commercial,DE,2020-01,,6574.022242738,6551.573896536,6593.700647793,187.9862295,PROPHET
Commercial,DE,2020-02,,6556.910344575,6469.712595634,6648.894022937,187.9862295,PROPHET
Commercial,FL,2019-01,324130,323947.728043459,323248.153378121,324639.51906787,2428.462589532,PROPHET
Commercial,FL,2019-02,323084,323416.680307968,322744.671392698,324097.255988224,2428.462589532,PROPHET
Commercial,FL,2019-03,322931,322985.883454745,322334.98481273,323606.302354847,2428.462589532,PROPHET
Commercial,FL,2019-04,322696,322508.929810943,321840.087416086,323155.441959252,2428.462589532,PROPHET
Commercial,FL,2019-05,322045,322026.8208658,321323.516461377,322643.37478874,2428.462589532,PROPHET
Commercial,FL,2019-06,321433,321435.386340681,320784.774538507,322073.91902877,2428.462589532,PROPHET
Commercial,FL,2019-07,321030,320665.665880024,319971.7744929,321408.997040192,2428.462589532,PROPHET
Commercial,FL,2019-08,317292,318018.563657876,317332.938238068,318671.353496266,2428.462589532,PROPHET
Commercial,FL,2019-09,316463,316891.39235367,316186.66199931,317585.18229664,2428.462589532,PROPHET
Commercial,FL,2019-10,316119,315258.116442652,314526.840373953,315886.504951042,2428.462589532,PROPHET
Commercial,FL,2019-11,314409,313570.398001267,312901.111757915,314233.163387978,2428.462589532,PROPHET
Commercial,FL,2019-12,311029,311937.12209025,311278.352424762,312626.651238577,2428.462589532,PROPHET
Commercial,FL,2020-01,,310249.403648865,309488.162659513,311030.14433826,2428.462589532,PROPHET
Commercial,FL,2020-02,,308561.68520748,307225.714499736,309908.459977591,2428.462589532,PROPHET
Commercial,GA,2019-01,235598,235596.936130884,235556.194699455,235641.84466312,9120.49006162,PROPHET
Commercial,GA,2019-02,234422,234423.063629834,234379.648048114,234468.716264265,9120.49006162,PROPHET
Commercial,GA,2019-03,233642,233641.999700627,233596.923372424,233684.903185232,9120.49006162,PROPHET
Commercial,GA,2019-04,232928,232930.198816543,232887.737368937,232973.276907381,9120.49006162,PROPHET
Commercial,GA,2019-05,232576,232571.674476396,232528.72563767,232613.513076901,9120.49006162,PROPHET
Commercial,GA,2019-06,230731,230735.324960483,230690.334894633,230780.825043779,9120.49006162,PROPHET
Commercial,GA,2019-07,230018,230013.675024619,229967.404346945,230056.146201504,9120.49006162,PROPHET
Commercial,GA,2019-08,226606,226610.254196515,226567.407128414,226651.76983842,9120.49006162,PROPHET
Commercial,GA,2019-09,226302,226319.779730696,226277.435791391,226360.927861433,9120.49006162,PROPHET
Commercial,GA,2019-10,225485,225502.980930247,225459.080763958,225543.063887813,9120.49006162,PROPHET
Commercial,GA,2019-11,224757,224658.955503117,224617.0154893,224705.15859027,9120.49006162,PROPHET
Commercial,GA,2019-12,223782,223842.156702668,223795.54057792,223887.127440551,9120.49006162,PROPHET
Commercial,GA,2020-01,,222998.131275537,222345.165201504,223596.075429569,9120.49006162,PROPHET
Commercial,GA,2020-02,,222154.105848406,219643.52781881,224455.063971672,9120.49006162,PROPHET
Commercial,HI,2019-01,3702,3705.022704687,3695.163368866,3714.718660843,21.923265853,PROPHET
Commercial,HI,2019-02,3680,3670.313754984,3661.11746503,3679.839269404,21.923265853,PROPHET
Commercial,HI,2019-03,3628,3636.96782479,3627.898977106,3646.470962955,21.923265853,PROPHET
Commercial,HI,2019-04,3620,3616.889934253,3607.371912003,3625.561127342,21.923265853,PROPHET
Commercial,HI,2019-05,3598,3597.459717799,3588.653137288,3606.913623346,21.923265853,PROPHET
Commercial,HI,2019-06,3570,3577.381873186,3568.131486698,3586.473714535,21.923265853,PROPHET
Commercial,HI,2019-07,3570,3557.97100933,3548.342718923,3567.118148071,21.923265853,PROPHET
Commercial,HI,2019-08,3509,3514.990300947,3506.199352542,3525.099070219,21.923265853,PROPHET
Commercial,HI,2019-09,3494,3487.340988384,3478.014595252,3495.95558528,21.923265853,PROPHET
Commercial,HI,2019-10,3461,3471.457558408,3462.824157719,3481.193554297,21.923265853,PROPHET
Commercial,HI,2019-11,3453,3455.044680766,3446.21192186,3464.515626582,21.923265853,PROPHET
Commercial,HI,2019-12,3445,3439.16125079,3429.999376161,3448.857913946,21.923265853,PROPHET
Commercial,HI,2020-01,,3422.748373148,3411.675072518,3434.378213226,21.923265853,PROPHET
Commercial,HI,2020-02,,3406.335495506,3389.622377104,3426.873560283,21.923265853,PROPHET
Commercial,IA,2019-01,23676,24938.466624048,23406.400579442,26719.968596556,321.393351356,PROPHET
Commercial,IA,2019-02,23549,24259.012245662,22550.503193951,25911.219124182,321.393351356,PROPHET
Commercial,IA,2019-03,23553,23645.311517737,21957.610124215,25377.669127002,321.393351356,PROPHET
Commercial,IA,2019-04,23442,22965.857140726,21231.406946293,24585.620231711,321.393351356,PROPHET
Commercial,IA,2019-05,23484,22308.320645702,20723.057904084,23953.207382563,321.393351356,PROPHET
Commercial,IA,2019-06,23514,21628.866261468,19941.856916964,23298.580386684,321.393351356,PROPHET
Commercial,IA,2019-07,23481,20971.329745558,19261.891004221,22544.326021104,321.393351356,PROPHET
Commercial,IA,2019-08,18238,20291.875343765,18648.764560638,21965.079233523,321.393351356,PROPHET
Commercial,IA,2019-09,18174,19612.420940495,17912.909770824,21311.070264061,321.393351356,PROPHET
Commercial,IA,2019-10,18174,18954.884420879,17220.993248195,20688.372788595,321.393351356,PROPHET
Commercial,IA,2019-11,18111,18275.430017275,16590.892755346,20026.274139165,321.393351356,PROPHET
Commercial,IA,2019-12,18073,17617.893497658,15994.727690212,19204.653432603,321.393351356,PROPHET
Commercial,IA,2020-01,,16938.439094055,15250.397628839,18689.038750554,321.393351356,PROPHET
Commercial,IA,2020-02,,16258.984690451,14561.726740263,17993.818512976,321.393351356,PROPHET
Commercial,ID,2019-01,59623,59616.874128281,59564.94415815,59670.380186371,6152.466800863,PROPHET
Commercial,ID,2019-02,58993,58999.147577334,58947.55830932,59053.210300171,6152.466800863,PROPHET
Commercial,ID,2019-03,58575,58582.070760541,58529.434647466,58628.301927702,6152.466800863,PROPHET
Commercial,ID,2019-04,58169,58167.224158669,58114.008229508,58220.407569505,6152.466800863,PROPHET
Commercial,ID,2019-05,57781,57765.759708168,57713.158602836,57820.052375132,6152.466800863,PROPHET
Commercial,ID,2019-06,57289,57309.154686617,57255.065926264,57359.29999142,6152.466800863,PROPHET
Commercial,ID,2019-07,56890,56867.531571607,56814.805505232,56918.125460024,6152.466800863,PROPHET
Commercial,ID,2019-08,55272,55284.235900286,55232.106270768,55338.40741951,6152.466800863,PROPHET
Commercial,ID,2019-09,54675,54722.619633777,54669.228697322,54770.770218135,6152.466800863,PROPHET
Commercial,ID,2019-10,54210,54193.9144425,54138.445357561,54247.053147515,6152.466800863,PROPHET
Commercial,ID,2019-11,53753,53647.585744847,53597.615005801,53700.509563687,6152.466800863,PROPHET
Commercial,ID,2019-12,53045,53118.880553571,53066.734728896,53168.003059341,6152.466800863,PROPHET
Commercial,ID,2020-01,,52572.551855918,52425.418087696,52720.510606748,6152.466800863,PROPHET
Commercial,ID,2020-02,,52026.223158265,51526.282560522,52597.423410502,6152.466800863,PROPHET
Commercial,IL,2019-01,503142,503121.799071381,502856.400970671,503403.95346045,919.755025063,PROPHET
Commercial,IL,2019-02,502858,502922.919484047,502640.911525771,503213.792441162,919.755025063,PROPHET
Commercial,IL,2019-03,505943,505869.244576727,505576.707981974,506149.996702638,919.755025063,PROPHET
Commercial,IL,2019-04,507088,507147.034151328,506859.720910442,507420.395177346,919.755025063,PROPHET
Commercial,IL,2019-05,508454,508383.604699811,508102.496611034,508690.0656308,919.755025063,PROPHET
Commercial,IL,2019-06,508228,508310.134888964,508032.992482683,508605.672205709,919.755025063,PROPHET
Commercial,IL,2019-07,509824,509741.865342952,509460.025353006,510020.044052578,919.755025063,PROPHET
Commercial,IL,2019-08,505676,505756.787154815,505477.310965477,506039.984755524,919.755025063,PROPHET
Commercial,IL,2019-09,506346,506650.781358621,506364.759312985,506922.60931348,919.755025063,PROPHET
Commercial,IL,2019-10,507334,507020.256330195,506737.151608249,507310.914104967,919.755025063,PROPHET
Commercial,IL,2019-11,507832,507402.047134154,507130.847994383,507672.887672897,919.755025063,PROPHET
Commercial,IL,2019-12,507373,507771.522105728,507484.725428658,508050.491800498,919.755025063,PROPHET
Commercial,IL,2020-01,,508153.312909687,506630.378552761,509313.408359953,919.755025063,PROPHET
Commercial,IL,2020-02,,508535.103713646,503665.487678657,512753.272825419,919.755025063,PROPHET
Commercial,IN,2019-01,190925,190917.386726524,190808.935760024,191015.245466122,2051.971087804,PROPHET
Commercial,IN,2019-02,190550,190575.400025267,190459.565846981,190690.525925991,2051.971087804,PROPHET
Commercial,IN,2019-03,190371,190336.446118183,190221.041652446,190441.843883015,2051.971087804,PROPHET
Commercial,IN,2019-04,189909,189943.217004042,189838.386418474,190054.522819844,2051.971087804,PROPHET
Commercial,IN,2019-05,189822,189804.418150877,189690.503252819,189920.107374313,2051.971087804,PROPHET
Commercial,IN,2019-06,189574,189574.066886157,189466.547642922,189685.238107688,2051.971087804,PROPHET
Commercial,IN,2019-07,189249,189232.364317902,189119.653946152,189347.636849643,2051.971087804,PROPHET
Commercial,IN,2019-08,187430,187456.577094263,187345.274109883,187572.838856566,2051.971087804,PROPHET
Commercial,IN,2019-09,186986,187075.643962034,186963.80453641,187184.091516209,2051.971087804,PROPHET
Commercial,IN,2019-10,186933,186706.999004127,186601.491186744,186823.102985949,2051.971087804,PROPHET
Commercial,IN,2019-11,186170,186326.065880957,186214.02537836,186431.975882457,2051.971087804,PROPHET
Commercial,IN,2019-12,185987,185957.42092305,185842.882938298,186057.121737436,2051.971087804,PROPHET
Commercial,IN,2020-01,,185576.487799879,185326.308722505,185837.86024988,2051.971087804,PROPHET
Commercial,IN,2020-02,,185195.554676709,184283.931581459,186089.901716147,2051.971087804,PROPHET
Commercial,KS,2019-01,26204,26799.67936768,25986.212405863,27698.644540017,4142.39611719,PROPHET
Commercial,KS,2019-02,26112,26438.395488236,25613.330436345,27258.828579878,4142.39611719,PROPHET
Commercial,KS,2019-03,26082,26112.074566855,25178.916260748,27033.128288776,4142.39611719,PROPHET
Commercial,KS,2019-04,25984,25750.790689881,24881.14704849,26599.260886677,4142.39611719,PROPHET
Commercial,KS,2019-05,25971,25401.142113157,24569.76716335,26296.703860544,4142.39611719,PROPHET
Commercial,KS,2019-06,25982,25039.524257947,24120.940624748,25940.209111534,4142.39611719,PROPHET
Commercial,KS,2019-07,25968,24688.390326439,23831.059380687,25593.066912663,4142.39611719,PROPHET
Commercial,KS,2019-08,23113,24324.698277265,23476.193895671,25205.939710035,4142.39611719,PROPHET
Commercial,KS,2019-09,23283,23961.006229157,23088.288663186,24872.932724489,4142.39611719,PROPHET
Commercial,KS,2019-10,23245,23609.046180584,22773.514819663,24470.777713866,4142.39611719,PROPHET
Commercial,KS,2019-11,23196,23245.354130393,22392.876649271,24031.075606004,4142.39611719,PROPHET
Commercial,KS,2019-12,23121,22893.39408182,21992.574373477,23708.052132471,4142.39611719,PROPHET
Commercial,KS,2020-01,,22529.702031628,21672.783543895,23412.573153889,4142.39611719,PROPHET
Commercial,KS,2020-02,,22166.009981437,21331.245091278,23051.050732964,4142.39611719,PROPHET
