MONTHS,PROVIDERNAME,SPECIALITY,STATE,IP_INDICATOR,LOB,PRICEPM,MEMBER_COUNT
2019-10,Lincoln Medical Practice,Clinic/Center,CA,O,Commercial,752.22,1
2019-10,Linda Vista Health Care Center,Clinic/Center,CA,O,Commercial,3445.60,6
2019-10,Linda Vista Health Care Center,Clinic/Center,CA,O,Medicare,8978.95,17
2019-10,Linkages To Learning New Hampshire Estates SBHC,Clinic/Center,MD,O,Medicare,72.63,2
2019-10,Little Plum Blossom Pediatrics,Clinic/Center,TX,O,Commercial,45.61,1
2019-10,Little River Medical Ctr Health Access,Clinic/Center,SC,O,Medicare,90.28,1
2019-10,Little Rivers Health Care-Bradford,Clinic/Center,VT,O,Commercial,230.51,1
2019-10,Live Well Family Med Center of Naples,Clinic/Center,CA,O,Commercial,516.16,4
2019-10,Living Waters Medical Center,Clinic/Center,WV,O,Commercial,197.53,1
2019-10,Lompoc Valley Pediatric Care Center,Clinic/Center,CA,O,Commercial,40.07,1
2019-10,Lone Star Kids Care,Clinic/Center,TX,O,Commercial,341.71,1
2019-10,Low Country Health Care-Blackville,Clinic/Center,SC,O,Commercial,,6
2019-10,Low Country Health Care-Blackville,Clinic/Center,SC,O,Medicare,430.28,1
2019-10,Lowcountry Urgent Care,Nurse Practitioner,SC,O,Commercial,215.24,1
2019-10,Lowell Community Health Center,Clinic/Center,MA,O,Commercial,101.82,1
2019-10,Lowell Community Health Center,Clinic/Center,MA,O,Medicare,49.72,1
2019-10,Lucio S Villa Real MD,Clinic/Center,MD,O,Medicare,308.64,4
2019-10,Lynnfield Pediatrics LLC,Clinic/Center,MA,O,Commercial,1191.96,3
2019-10,M. L. Medical,Clinic/Center,IL,O,Commercial,123.96,1
2019-10,"M. T Curry, Inc.",Clinic/Center,VA,O,Commercial,1968.87,8
2019-10,"M. T Curry, Inc.",Clinic/Center,VA,O,Medicare,11453.02,25
2019-10,MHC Healthcare-Santa Catalina Hlth. Ctr,Clinic/Center,AZ,O,Commercial,0.00,1
2019-10,MHC Healthcare-Santa Catalina Hlth. Ctr,Clinic/Center,AZ,O,Medicare,72.54,7
2019-10,MMC Advanced Imaging,Clinic/Center,NY,O,Commercial,1127.74,1
2019-10,MPV NJ MD Services PC,Clinic/Center,NJ,O,Commercial,1403.51,12
2019-10,MPV NJ MD Services PC,Clinic/Center,NJ,O,Medicare,102.04,1
2019-10,MRH Medical Group Nettleton,Clinic/Center,MS,O,Commercial,79.74,1
2019-10,Mackinac Island Medical Center,Clinic/Center,MI,O,Commercial,124.56,2
2019-10,Macon County Health Department,Clinic/Center,IL,O,Commercial,2659.71,60
2019-10,Macon County Health Department,Clinic/Center,IL,O,Medicare,2213.25,37
2019-10,Magnolia Community Health Center,Clinic/Center,CA,O,Medicare,1975.37,39
2019-10,Magnolia Family Medicine,Clinic/Center,TX,O,Commercial,401.20,4
2019-10,Main Street Family Healthcare Np Clinic,Clinic/Center,OK,O,Commercial,77.44,1
2019-10,Main Street Urgent Care,Clinic/Center,CA,O,Commercial,273.93,1
2019-10,Mamatas Medical Associates,Clinic/Center,PA,O,Commercial,30.61,1
2019-10,Mansfiled Urgent Care and Family Medicine,Clinic/Center,TX,O,Commercial,247.47,2
2019-10,Manuka Health Clinic LLC,Clinic/Center,AK,O,Commercial,452.46,1
2019-10,Marathon Health Center,Clinic/Center,FL,O,Commercial,0.00,1
2019-10,"Marcella Bonnici, MD",Clinic/Center,CA,O,Commercial,70.39,1
2019-10,Marfa Country Clinic,Clinic/Center,TX,O,Commercial,40.24,1
2019-10,Marfa Country Clinic,Clinic/Center,TX,O,Medicare,114.62,1
2019-10,Maria Remedios R. Gopez MD,Clinic/Center,CA,O,Commercial,251.16,1
2019-10,"Marie Pearl C. Francisco MD, Inc.",Clinic/Center,CA,O,Commercial,80.47,1
2019-10,Mark P Goodman MD Inc.,Clinic/Center,CA,O,Commercial,1259.90,2
2019-10,Marshall Wellness Center,Clinic/Center,AR,O,Commercial,489.86,6
2019-10,Marshall Wellness Center,Clinic/Center,AR,O,Medicare,0.00,3
2019-10,Marshfield Clinic-Cornell Center,Clinic/Center,WI,O,Medicare,59.19,1
2019-10,Martin Luther King Heritage Health Ctr,Clinic/Center,WI,O,Commercial,400.57,2
2019-10,Martin Luther King Jr Family Clinic,Clinic/Center,TX,O,Commercial,4457.01,17
2019-10,Martin Luther King Jr Family Clinic,Clinic/Center,TX,O,Medicaid,38.87,1
2019-10,Martin Luther King Jr Family Clinic,Clinic/Center,TX,O,Medicare,8510.84,71
2019-10,Mathiesen Memorial Health Clinic,Clinic/Center,CA,O,Medicare,2123.17,10
2019-10,Mauston Dental Center,Clinic/Center,WI,O,Commercial,,1
2019-10,Maxa Internal Medicine Associates PC,Clinic/Center,GA,O,Commercial,1549.13,4
2019-10,Mays Medical Wellness LLC,Clinic/Center,MS,O,Commercial,76.37,1
2019-10,McAfee Medical Clinic,Clinic/Center,AR,O,Commercial,793.93,4
2019-10,McGregor Community Clinic,Clinic/Center,TX,O,Medicare,2147.27,21
2019-10,McGregor Medical and Wellness LLC,Clinic/Center,FL,O,Commercial,116.63,1
2019-10,Mch Primary Care Cardinal Center,Clinic/Center,OH,O,Commercial,918.59,7
2019-10,Mckinleyville Community Health Center,Clinic/Center,CA,O,Commercial,329.69,3
2019-10,Mckinleyville Community Health Center,Clinic/Center,CA,O,Medicare,3502.65,51
2019-10,Meadowlands Medical Center,Clinic/Center,FL,O,Commercial,134.33,1
2019-10,"Medcareplus, PLLC",Clinic/Center,NY,I,Commercial,0.00,2
2019-10,Medcentral Corp. D/B/A,Clinic/Center,FL,O,Commercial,69.67,1
2019-10,Medical Associates of Pilot Point,Nurse Practitioner,TX,O,Commercial,399.50,1
2019-10,Medical Associates of Tampa Bay LLC,Clinic/Center,FL,O,Commercial,3.61,1
2019-10,Medical Center LLP,Clinic/Center,GA,O,Commercial,1267.46,6
2019-10,Medical Health Clinic Ltd.,Clinic/Center,IL,O,Medicaid,136.73,1
2019-10,Medwin Family Medicine and Rehab.,Clinic/Center,TX,O,Commercial,314.16,1
2019-10,Mejia Pediatrics LLC,Clinic/Center,NJ,O,Commercial,70.63,1
2019-10,Mejia Pediatrics LLC,Clinic/Center,NJ,O,Medicare,8357.07,19
2019-10,Memphis Health Center,Clinic/Center,TN,O,Commercial,156.45,1
2019-10,Memphis Health Center,Clinic/Center,TN,O,Medicare,473.05,2
2019-10,Mendocino Coast Clinics-Cypress Ave.,Clinic/Center,CA,O,Medicare,2990.66,41
2019-10,Mental Health Coop Inc.,Clinic/Center,TN,I,Medicare,22331.60,5
2019-10,Mental Health Coop Inc.,Clinic/Center,TN,O,Commercial,66.57,1
2019-10,Mental Health Coop Inc.,Clinic/Center,TN,O,Medicare,3873.22,379
2019-10,Mercer County Health Department,Clinic/Center,WV,O,Commercial,350.28,4
2019-10,Mercer County Health Department,Clinic/Center,WV,O,Medicare,42.93,2
2019-10,Mercy East Urgent Care,Clinic/Center,IA,O,Medicare,4557.81,28
2019-10,Mercy East Village Urgent Care,Clinic/Center,IA,O,Medicare,3336.73,32
2019-10,Mercy Family Care-Chandler,Clinic/Center,MI,O,Commercial,203.12,1
2019-10,Mercy Family Health Center,Clinic/Center,CA,O,Medicare,166.44,1
2019-10,Mercy Family Medicine of Tipton,Clinic/Center,IA,O,Medicare,914.84,12
2019-10,Mercy Family Medicine of West Branch,Clinic/Center,IA,O,Medicare,856.58,9
2019-10,Mercy Indianola Family Medicine & Urgent Care,Clinic/Center,IA,O,Medicare,4051.34,32
2019-10,Mercy Internal Medicine PLLC,Clinic/Center,MI,O,Commercial,483.80,3
2019-10,Mercy Medical Center Merced,Clinic/Center,CA,O,Commercial,976.83,2
2019-10,Mercy Services Iowa City Inc.,Clinic/Center,IA,O,Medicare,839.37,7
2019-10,Mercy South Medical Clinic,Clinic/Center,IA,O,Medicare,5608.22,39
2019-10,Mercyone Beaverdale Family Medicine Clinic,Clinic/Center,IA,O,Medicare,1100.72,10
2019-10,Mercyone Johnston Pediatrics Care Clinic,Clinic/Center,IA,O,Medicare,2279.94,16
2019-10,Meskwaki Health Clinic,Clinic/Center,IA,O,Medicare,72.84,1
2019-10,Metro Family Practice Sc,Clinic/Center,IL,O,Commercial,559.97,3
2019-10,Metro Xtracare PC,Clinic/Center,MD,O,Medicare,79.58,1
2019-10,Mid Atlantic Primary Care,Nurse Practitioner,MD,O,Commercial,127.51,1
2019-10,Mid Jersey Medical Associates Pa,Clinic/Center,NJ,O,Commercial,1301.94,11
2019-10,Mid Kansas Eyecare Inc.,Clinic/Center,KS,O,Medicare,686.05,3
2019-10,Middlebrook Pediatrics LLC,Clinic/Center,MD,O,Medicare,225.25,3
2019-10,Mihs Chandler Family Health Center,Clinic/Center,AZ,O,Commercial,110.80,1
2019-10,Mile Square Health Center at Univ. of Il,Clinic/Center,IL,O,Commercial,8213.46,63
2019-10,Mile Square Health Center at Univ. of Il,Clinic/Center,IL,O,Medicare,5205.27,64
2019-10,Mile Square Hlth. Ctr-Near West Fmly. Ctr,Clinic/Center,IL,O,Medicare,884.45,1
2019-10,Miles Family Medicine LLC,Clinic/Center,GA,O,Commercial,175.74,2
2019-10,Mill Creek Clinic LLC,Clinic/Center,GA,O,Commercial,156.65,1
2019-10,Mill Medical Clinic Inc.,Clinic/Center,CA,O,Commercial,97.84,1
2019-10,Milton Medical Group LLC,Clinic/Center,GA,O,Commercial,82.74,1
2019-10,Minnie Hamilton Health Care-Glenville,Clinic/Center,WV,O,Commercial,142.10,2
2019-10,Mirian Worthy Womens Health Center,Clinic/Center,GA,O,Commercial,406.74,4
2019-10,Mirian Worthy Womens Health Center,Clinic/Center,GA,O,Medicare,14233.40,45
2019-10,Mission Viejo Family Medical Center,Clinic/Center,CA,O,Commercial,147.22,1
2019-10,Mississippi Family Medicine PC,Clinic/Center,MS,O,Commercial,386.25,2
2019-10,Monmouth Family Health Center,Clinic/Center,NJ,O,Commercial,8626.70,67
2019-10,Monmouth Family Health Center,Clinic/Center,NJ,O,Medicare,8151.96,34
2019-10,Monongalia Pediatric & Youth Assoc. Inc.,Clinic/Center,WV,O,Commercial,1549.28,9
2019-10,Monroe Community Mental Health Authority,Clinic/Center,MI,O,Commercial,0.00,1
2019-10,Monticello Medical Clinic,Clinic/Center,AR,O,Commercial,1473.26,1
2019-10,More Health Care,Clinic/Center,MS,O,Commercial,117.65,1
2019-10,Moreau Family Health,Clinic/Center,NY,O,Commercial,448.00,1
2019-10,Moreno Valley Family Health Center,Clinic/Center,CA,O,Commercial,404.71,5
2019-10,Moreno Valley Family Health Center,Clinic/Center,CA,O,Medicare,5782.64,85
2019-10,Moreno Valley Womens & Family Clinic,Clinic/Center,CA,O,Medicare,1332.30,4
2019-10,Morris Pediatric Care LLC,Clinic/Center,NJ,O,Commercial,1111.21,8
2019-10,Morton East Adolescent Health Center,Clinic/Center,IL,O,Medicare,300.62,1
2019-10,Mother and Child Center,Clinic/Center,IL,O,Medicare,157.01,5
2019-10,Motion Sports MD,Clinic/Center,CA,O,Commercial,197.98,1
2019-10,Mount Vernon Healthy Living Center,Clinic/Center,IL,O,Commercial,6127.97,32
2019-10,Mountain Comprehensive Health Corp.,Clinic/Center,KY,O,Medicare,730.27,25
2019-10,Mountain Park Health Center-Maryvale,Clinic/Center,AZ,O,Commercial,3522.17,22
2019-10,Mountain Park Health Center-Maryvale,Clinic/Center,AZ,O,Medicare,393.47,1
2019-10,Mountain Ridge Pediatrics,Clinic/Center,VA,O,Commercial,299.62,3
2019-10,Mountain Ridge Pediatrics,Clinic/Center,VA,O,Medicare,93.14,1
2019-10,Mountainburg Family Clinic,Clinic/Center,AR,O,Commercial,62.85,1
2019-10,Mountainburg Family Clinic,Clinic/Center,AR,O,Medicare,0.00,1
2019-10,Mountainside Family Practice Associates,Clinic/Center,NJ,O,Commercial,231.42,2
2019-10,Mountainside Family Practice Associates,Clinic/Center,NJ,O,Medicare,1289.68,3
2019-10,Mulberry Family Clinic,Clinic/Center,AR,O,Medicare,79.68,1
2019-10,Muskingum Valley Health Center,Clinic/Center,OH,O,Commercial,118.68,1
2019-10,NVRH Corner Medical,Clinic/Center,VT,O,Commercial,294.76,1
2019-10,Naca Family Health Center,Clinic/Center,AZ,O,Medicare,223.65,2
2019-10,"Namita Mohideen, MD, Inc.",Clinic/Center,CA,O,Commercial,235.99,2
2019-10,Native Health-Central,Clinic/Center,AZ,O,Commercial,93.23,1
2019-10,Native Health-Central,Clinic/Center,AZ,O,Medicare,1875.21,15
2019-10,Natural Pediatrics,Clinic/Center,TX,O,Medicare,110.71,1
2019-10,Near South Health Cener,Clinic/Center,IL,O,Commercial,53.16,1
2019-10,Near South Health Cener,Clinic/Center,IL,O,Medicare,1723.34,17
2019-10,Nebraska Urban Indian Medical Center,Clinic/Center,NE,O,Commercial,457.90,1
2019-10,Nebraska Urban Indian Medical Center,Clinic/Center,NE,O,Medicare,65.64,1
2019-10,Neighborcare Health at Columbia City,Clinic/Center,WA,O,Commercial,125.87,1
2019-10,Neighborcare Health at Columbia City,Clinic/Center,WA,O,Medicare,0.00,1
2019-10,Neighborhood Family Practice,Clinic/Center,OH,O,Commercial,213.84,2
2019-10,Neighborhood Health,Clinic/Center,VA,O,Medicare,11.02,2
2019-10,New Horizon Family Hlth. Svcs-Greer,Clinic/Center,SC,O,Medicare,745.86,2
2019-10,New Paltz Family Health Center,Clinic/Center,NY,O,Medicare,379.26,7
2019-10,New Richmond Family Practice,Clinic/Center,OH,O,Commercial,302.36,1
2019-10,New Stanton Primary Care,Clinic/Center,PA,O,Commercial,78.29,1
2019-10,Newkirk Family Health Center,Clinic/Center,OK,O,Commercial,,1
2019-10,Next Century Medical Care LLC,Nurse Practitioner,DE,O,Medicare,190.23,1
2019-10,Noah Palomino Health Center,Clinic/Center,AZ,O,Commercial,402.63,1
2019-10,Noah Palomino Health Center,Clinic/Center,AZ,O,Medicare,6878.75,29
2019-10,North Atlanta Pediatric Associates,Clinic/Center,GA,O,Commercial,178.68,2
2019-10,North Blanco Family Physicians P.A.,Clinic/Center,TX,O,Commercial,72.68,1
2019-10,North Central Family Medical Center,Clinic/Center,SC,O,Commercial,122.32,1
2019-10,North Country Family Health Center,Clinic/Center,NY,O,Medicare,426.36,3
2019-10,North Memorial Health Clinic,Clinic/Center,MN,O,Commercial,165.16,2
2019-10,North Miami Pediatrics,Clinic/Center,FL,O,Medicare,644.94,5
2019-10,North Miami Pediatrics Pa,Clinic/Center,FL,O,Medicare,2430.91,7
2019-10,North Naples Internal Medicine LLC,Clinic/Center,FL,O,Commercial,116.87,1
2019-10,North Riverside Health Center,Clinic/Center,IL,O,Medicare,1493.85,16
2019-10,Northampton Family Practice PC,Clinic/Center,NC,O,Medicare,622.28,3
2019-10,Northeast Ohio Neighborhood Health Services Inc.,Clinic/Center,OH,O,Commercial,1000.80,1
2019-10,Northfield Hospital & Clinics Lonsdale Clinic,Clinic/Center,MN,O,Commercial,349.02,2
2019-10,Northlake Medicine and Wellness Center LLC,Clinic/Center,LA,O,Commercial,0.00,1
2019-10,Northwest Medical Center Grant City Clinic,Clinic/Center,MO,O,Commercial,74.15,2
2019-10,Northwest Medical Center Grant City Clinic,Clinic/Center,MO,O,Medicare,303.02,2
2019-10,Northwest Nurse Practitioners Clinic LLC,Nurse Practitioner,TX,O,Commercial,278.58,1
2019-10,Notchview Pediatrics at SMG,Clinic/Center,NJ,O,Commercial,925.31,6
2019-10,Nova Home Medical Care LLC,Clinic/Center,IL,O,Medicare,177.84,1
2019-10,Novamedcare Inc.,Clinic/Center,NJ,O,Commercial,345.16,3
2019-10,Oak Mill Medical Associates Sc,Clinic/Center,IL,O,Commercial,226.69,1
2019-10,Oak Orchard Community Health Center,Clinic/Center,NY,O,Medicare,1256.40,3
2019-10,Oak Street Health Physicians Group PC,Clinic/Center,IL,O,Commercial,71.12,1
2019-10,Oak Street Health Physicians Group PC,Clinic/Center,IL,O,Medicare,510.57,5
2019-10,Oasis Family Medicine Inc.,Clinic/Center,CA,O,Commercial,182.04,1
2019-10,Ocoee Regional Health Corp.,Clinic/Center,TN,O,Commercial,106.47,1
2019-10,Ocoee Regional Health Corp.,Clinic/Center,TN,O,Medicare,143.92,1
2019-10,Odessa Brown Childrens Clinic,Clinic/Center,WA,O,Medicare,20.45,1
2019-10,Odyssey House,Clinic/Center,NY,O,Commercial,436.20,1
2019-10,Odyssey House,Clinic/Center,NY,O,Medicare,866.79,1
2019-10,Ogeda Family Care PLLC,Clinic/Center,TX,O,Commercial,22.20,1
2019-10,Ogeda Family Care PLLC,Clinic/Center,TX,O,Medicare,130.64,1
2019-10,Oihn-Family Medicine Center,Clinic/Center,MI,O,Medicare,3224.68,7
2019-10,Okeene Hospital Medical Clinic,Clinic/Center,OK,O,Commercial,49.59,1
2019-10,Old Dominion Pediatrics PLLC,Clinic/Center,VA,O,Medicare,2915.02,8
2019-10,Olsen Clinic,Clinic/Center,AR,O,Commercial,79.89,1
2019-10,Omin Medical Center,Clinic/Center,MD,O,Medicare,1320.06,4
2019-10,One Source Pediatrics Pa,Clinic/Center,FL,O,Commercial,128.13,1
2019-10,One Source Pediatrics Pa,Clinic/Center,FL,O,Medicare,593.48,2
2019-10,Ontario Childrens Health,Clinic/Center,OH,O,Commercial,3281.31,14
2019-10,Onyx Health and Wellness Center LLC,Clinic/Center,GA,O,Commercial,73.16,1
2019-10,Orchard Family Medicine PC,Clinic/Center,VA,O,Commercial,544.76,2
2019-10,Osh -Pa Physicians Group PC,Clinic/Center,PA,O,Commercial,244.78,2
2019-10,Otay Family Health Center,Clinic/Center,CA,O,Commercial,174.72,1
2019-10,Othello Family Clinic,Clinic/Center,WA,O,Medicare,0.00,3
2019-10,Others,Clinic/Center,AZ,O,Commercial,791.69,5
2019-10,Others,Clinic/Center,AZ,O,Medicare,2897.11,21
2019-10,Others,Clinic/Center,CA,O,Commercial,11451.00,36
2019-10,Others,Clinic/Center,CA,O,Medicare,10073.15,52
2019-10,Others,Clinic/Center,FL,O,Commercial,5192.65,43
2019-10,Others,Clinic/Center,FL,O,Medicaid,63.20,1
2019-10,Others,Clinic/Center,FL,O,Medicare,4613.41,30
2019-10,Others,Clinic/Center,GA,O,Commercial,522.25,5
2019-10,Others,Clinic/Center,IL,O,Commercial,6835.52,67
2019-10,Others,Clinic/Center,IL,O,Medicaid,121.32,1
2019-10,Others,Clinic/Center,IL,O,Medicare,6080.07,17
2019-10,Others,Clinic/Center,IN,O,Commercial,640.56,5
2019-10,Others,Clinic/Center,KS,O,Commercial,216.56,2
2019-10,Others,Clinic/Center,LA,O,Commercial,60.43,1
2019-10,Others,Clinic/Center,LA,O,Medicare,523.81,3
2019-10,Others,Clinic/Center,MS,O,Commercial,2149.83,18
2019-10,Others,Clinic/Center,MS,O,Medicare,794.60,5
2019-10,Others,Clinic/Center,NJ,O,Commercial,2029.66,5
2019-10,Others,Clinic/Center,NJ,O,Medicare,9792.38,39
2019-10,Others,Clinic/Center,NY,O,Commercial,3725.11,21
2019-10,Others,Clinic/Center,NY,O,Medicare,4527.86,23
2019-10,Others,Clinic/Center,OH,O,Commercial,416.24,1
2019-10,Others,Clinic/Center,PR,O,Commercial,189.48,4
2019-10,Others,Clinic/Center,SC,O,Commercial,230.89,2
2019-10,Others,Clinic/Center,SC,O,Medicare,1060.11,12
2019-10,Others,Clinic/Center,TX,I,Commercial,12119.04,1
2019-10,Others,Clinic/Center,TX,O,Commercial,12442.47,30
2019-10,Others,Clinic/Center,TX,O,Medicare,8943.98,44
2019-10,Others,Nurse Practitioner,AK,O,Commercial,77.10,1
2019-10,Others,Nurse Practitioner,AL,O,Commercial,403.23,5
2019-10,Others,Nurse Practitioner,AR,O,Commercial,2616.84,30
2019-10,Others,Nurse Practitioner,AZ,O,Commercial,738.22,4
2019-10,Others,Nurse Practitioner,AZ,O,Medicare,4251.09,25
2019-10,Others,Nurse Practitioner,CA,O,Commercial,4925.18,16
2019-10,Others,Nurse Practitioner,CA,O,Medicaid,113.72,1
2019-10,Others,Nurse Practitioner,CA,O,Medicare,6051.11,48
2019-10,Others,Nurse Practitioner,CO,O,Commercial,755.62,5
2019-10,Others,Nurse Practitioner,CT,O,Commercial,439.24,3
2019-10,Others,Nurse Practitioner,FL,O,Commercial,5230.90,38
2019-10,Others,Nurse Practitioner,FL,O,Medicaid,110.42,1
2019-10,Others,Nurse Practitioner,FL,O,Medicare,5086.66,64
2019-10,Others,Nurse Practitioner,GA,O,Commercial,666.75,3
2019-10,Others,Nurse Practitioner,GA,O,Medicare,3887.68,28
2019-10,Others,Nurse Practitioner,IA,O,Medicare,4338.15,29
2019-10,Others,Nurse Practitioner,ID,O,Commercial,3289.65,8
2019-10,Others,Nurse Practitioner,ID,O,Medicaid,130.94,1
2019-10,Others,Nurse Practitioner,IL,O,Commercial,4142.97,30
2019-10,Others,Nurse Practitioner,IL,O,Medicaid,379.15,1
2019-10,Others,Nurse Practitioner,IL,O,Medicare,5598.35,25
2019-10,Others,Nurse Practitioner,IN,O,Commercial,3187.85,23
2019-10,Others,Nurse Practitioner,IN,O,Medicaid,97.26,1
2019-10,Others,Nurse Practitioner,IN,O,Medicare,3015.74,19
2019-10,Others,Nurse Practitioner,KS,O,Commercial,677.59,7
2019-10,Others,Nurse Practitioner,KS,O,Medicare,2678.18,30
2019-10,Others,Nurse Practitioner,KY,O,Commercial,3560.94,29
2019-10,Others,Nurse Practitioner,KY,O,Medicare,5802.87,38
2019-10,Others,Nurse Practitioner,LA,O,Medicare,7877.75,45
2019-10,Others,Nurse Practitioner,MA,O,Commercial,1163.53,6
2019-10,Others,Nurse Practitioner,MD,O,Commercial,1202.14,9
2019-10,Others,Nurse Practitioner,MD,O,Medicare,6920.52,32
2019-10,Others,Nurse Practitioner,ME,O,Commercial,557.57,3
2019-10,Others,Nurse Practitioner,MI,O,Commercial,18260.32,137
2019-10,Others,Nurse Practitioner,MI,O,Medicare,4215.26,15
2019-10,Others,Nurse Practitioner,MN,O,Commercial,746.87,5
2019-10,Others,Nurse Practitioner,MN,O,Medicare,66.73,1
2019-10,Others,Nurse Practitioner,MO,O,Commercial,38.79,1
2019-10,Others,Nurse Practitioner,MS,O,Commercial,493.40,2
2019-10,Others,Nurse Practitioner,MS,O,Medicare,234.72,1
2019-10,Others,Nurse Practitioner,NC,O,Commercial,1459.83,10
2019-10,Others,Nurse Practitioner,NE,O,Commercial,63.77,1
2019-10,Others,Nurse Practitioner,NH,O,Commercial,911.58,7
2019-10,Others,Nurse Practitioner,NH,O,Medicare,311.16,1
2019-10,Others,Nurse Practitioner,NJ,O,Commercial,1559.94,8
2019-10,Others,Nurse Practitioner,NJ,O,Medicare,2954.50,8
2019-10,Others,Nurse Practitioner,NV,O,Medicare,2204.97,14
2019-10,Others,Nurse Practitioner,NY,O,Commercial,8470.10,58
2019-10,Others,Nurse Practitioner,NY,O,Medicare,1724.97,13
2019-10,Others,Nurse Practitioner,OH,O,Commercial,7227.57,35
2019-10,Others,Nurse Practitioner,OH,O,Medicare,2230.74,20
2019-10,Others,Nurse Practitioner,OK,O,Commercial,836.11,2
2019-10,Others,Nurse Practitioner,OR,O,Commercial,594.06,5
2019-10,Others,Nurse Practitioner,PA,O,Commercial,2131.53,12
2019-10,Others,Nurse Practitioner,PA,O,Medicare,2460.79,16
2019-10,Others,Nurse Practitioner,SC,O,Commercial,8.40,1
2019-10,Others,Nurse Practitioner,SC,O,Medicare,456.93,3
2019-10,Others,Nurse Practitioner,SD,O,Commercial,150.26,1
2019-10,Others,Nurse Practitioner,TN,O,Commercial,1757.80,13
2019-10,Others,Nurse Practitioner,TN,O,Medicare,5690.07,53
2019-10,Others,Nurse Practitioner,TX,O,Commercial,18785.96,82
2019-10,Others,Nurse Practitioner,TX,O,Medicare,10839.29,56
2019-10,Others,Nurse Practitioner,UT,O,Commercial,183.07,2
2019-10,Others,Nurse Practitioner,VA,O,Commercial,409.25,5
2019-10,Others,Nurse Practitioner,VA,O,Medicare,2156.84,11
2019-10,Others,Nurse Practitioner,WA,O,Commercial,2699.54,19
2019-10,Others,Nurse Practitioner,WA,O,Medicaid,3785.88,27
2019-10,Others,Nurse Practitioner,WA,O,Medicare,8082.71,79
2019-10,Others,Nurse Practitioner,WI,O,Commercial,1546.05,8
2019-10,Others,Nurse Practitioner,WI,O,Medicaid,59.96,1
2019-10,Others,Nurse Practitioner,WI,O,Medicare,1311.42,14
2019-10,Others,Nurse Practitioner,WV,O,Medicare,574.31,12
2019-10,Ouachita Womens Services,Clinic/Center,AR,O,Commercial,94.70,1
2019-10,Our Lady of Hope Medical Clinic,Clinic/Center,CO,O,Commercial,38.35,1
2019-10,Ourmed LLC,Clinic/Center,AL,O,Commercial,305.26,2
2019-10,PCC Community Wellness Center,Clinic/Center,IL,O,Medicare,2644.90,17
2019-10,PCC Salud Family Health Center,Clinic/Center,IL,O,Commercial,1283.68,7
2019-10,PCC Salud Family Health Center,Clinic/Center,IL,O,Medicare,31.86,2
2019-10,PCC South Family Health Center,Clinic/Center,IL,O,Medicare,7051.43,41
2019-10,PHMC Health Connection,Clinic/Center,PA,O,Medicare,0.00,6
2019-10,PMS Catron County Med Center,Clinic/Center,NM,O,Medicare,667.32,4
2019-10,PMS Chaparral Family Health Center,Clinic/Center,NM,O,Commercial,269.32,3
2019-10,PMS Chaparral Family Health Center,Clinic/Center,NM,O,Medicare,1005.27,11
2019-10,PMS-Farmington Community Health Center,Clinic/Center,NM,O,Medicare,4519.19,13
2019-10,Pacific Ridge Medical Associates Inc.,Clinic/Center,CA,O,Commercial,277.05,1
2019-10,Pahokee Health Center,Clinic/Center,FL,O,Medicare,10968.18,70
2019-10,Palma Ceia Family Care,Clinic/Center,FL,O,Commercial,841.42,5
2019-10,Palmetto Medical Group LLC,Clinic/Center,SC,O,Commercial,438.17,3
2019-10,Pana Medical Group,Clinic/Center,IL,O,Medicare,43.57,1
2019-10,Pancare Community Health Center,Clinic/Center,FL,O,Medicare,248.89,4
2019-10,Pantops Family Medicine Plc.,Clinic/Center,VA,O,Commercial,1653.51,12
2019-10,Paramus Pediatrics Pa,Clinic/Center,NJ,O,Commercial,2530.82,10
2019-10,Park Place Pediatrics LLC,Clinic/Center,NY,O,Commercial,93.98,1
2019-10,Park Street Medical Clinic,Clinic/Center,NE,O,Commercial,215.88,2
2019-10,Park Street Medical Clinic,Clinic/Center,NE,O,Medicare,119.10,2
2019-10,Parkersburg Family Care,Clinic/Center,WV,O,Medicare,445.66,5
2019-10,Parkside Medical Center,Clinic/Center,NJ,O,Medicare,127.90,4
2019-10,Parktree Community Health Center,Clinic/Center,CA,O,Commercial,,1
2019-10,Parktree Community Health Center,Clinic/Center,CA,O,Medicare,585.47,13
2019-10,Partners In Primary Care,Clinic/Center,IL,O,Commercial,297.02,2
2019-10,Parviz Amini A Medical Corp.,Clinic/Center,CA,O,Commercial,233.31,2
2019-10,"Pasadena Peditarics, P.A.",Clinic/Center,FL,O,Medicare,844.20,5
2019-10,Patient Care Family Clinic,Clinic/Center,MO,O,Commercial,302.08,3
2019-10,"Paul Keshishian, D.O., PC",Clinic/Center,NJ,O,Commercial,596.64,6
2019-10,"Paul Keshishian, D.O., PC",Clinic/Center,NJ,O,Medicare,268.43,1
2019-10,Paul Pierrot MD PC,Clinic/Center,NJ,O,Commercial,173.29,1
2019-10,Paula Sjolund Do LLC,Clinic/Center,NJ,O,Commercial,2986.75,15
2019-10,Peace of Mind Pediatrics PLLC,Clinic/Center,OK,O,Commercial,115.14,1
2019-10,Peach Tree Linda,Clinic/Center,CA,O,Commercial,639.60,3
2019-10,Peach Tree Linda,Clinic/Center,CA,O,Medicare,1437.36,10
2019-10,Pearland Health Care,Clinic/Center,TX,O,Commercial,74.32,1
